early_stopping_rounds,eta,gamma,max_depth,n_iters,num_boost_round,index,test-auc-mean,test-auc-std,test-error-mean,test-error-std,test-logloss-mean,test-logloss-std,train-auc-mean,train-auc-std,train-error-mean,train-error-std,train-logloss-mean,train-logloss-std
10,0.02,0.0,5,100,100,99,0.6580082500000001,0.0014804604646865885,0.39533325,0.005346615816336542,0.65899725,0.000540959044198335,0.70005675,0.0034938032554080807,0.364685,0.004029346535109627,0.6459025,0.000372981567909187
10,0.05,0.1,10,243,1000,242,0.7102984999999999,0.003819024777348255,0.35249149999999996,0.0050470535216103965,0.620593,0.002023813850135422,0.8611685,0.0021343525364850213,0.22695325,0.002499113880458439,0.528535,0.0025049224538895624
10,0.09,0.0,10,148,2000,147,0.71031125,0.005358121563337302,0.35407350000000004,0.005676005175297148,0.62043575,0.002611439485705167,0.86448675,0.0013039899108121746,0.22510799999999997,0.003451148576923338,0.5233565,0.0007156289192032411
10,0.01,0.1,5,500,500,499,0.6709585,0.0013758968893053075,0.38412875,0.005764066376049112,0.65024125,0.0005804443879476844,0.7247874999999999,0.0032407879828831813,0.3478335,0.005799590438125781,0.62934475,0.0016173679814748406
10,0.01,0.1,5,10,10,9,0.62076325,0.010799096336615419,0.41523875,0.0039851903577495535,0.688223,0.00026234805126017626,0.6419512500000001,0.004481924105504239,0.4013975,0.004857563509620846,0.68724825,0.00011037294731952692
10,0.05,0.0,10,10,10,9,0.66895875,0.008129296936851313,0.37918525,0.0028235411609360316,0.6641724999999999,0.0014934628385065416,0.75047025,0.009279492507001654,0.32549,0.007437057079248478,0.64592625,0.0020623471306984178
10,0.08,0.0,5,342,2000,341,0.6959492500000001,0.0037398403959928877,0.3612575,0.004695592853942947,0.6315489999999999,0.0028124591552589496,0.7991167499999999,0.002204216002913475,0.28416374999999994,0.0006040816894261861,0.57364175,0.0018960711187874786
10,0.1,0.1,5,312,2000,311,0.695755,0.00536324733720159,0.36554175,0.004145469175799028,0.6306995000000001,0.0036256769367940143,0.80732175,0.0018270320707365953,0.27627650000000004,0.001899388651645574,0.5663590000000001,0.001084162118873387
10,0.1,0.1,10,100,100,99,0.708894,0.003035783424422786,0.353414,0.0031774263956856627,0.62235325,0.0013487005551641152,0.8511490000000002,0.0015381410858565717,0.23881725,0.0006932468445654788,0.537629,0.0020115433129813216
10,0.02,0.0,5,500,500,499,0.6832085000000001,0.002878941949744745,0.37285775,0.0036880886225116693,0.6423,0.0013086959157879393,0.7516557500000001,0.003323059160999078,0.32715975,0.002517883771642362,0.61163875,0.0020465227063240763
