f_number;thm_prm;feature;importance
7001;thm;=(k2_xboole_0(A,A),k2_xboole_0(A,A));908
6685;thm;v3_tdlat_3;905
17141;prm;=(k2_tarski(A,A),k2_tarski(A,A));902
11544;prm;k6_setfam_1-V;901
2319;thm;k1_relat_1-k7_relat_1;901
1302;thm;l1_orders_2;900
2209;thm;k4_tarski(A,A);899
1516;thm;k10_relat_1;896
3767;thm;k2_pre_topc-V;887
15094;prm;k2_xboole_0(A,k1_tarski(A));885
15208;prm;r1_tarski(u1_struct_0(A),u1_struct_0(A));882
11181;prm;k8_relat_1-V;881
12786;prm;v4_pre_topc-V;881
311;thm;k1_setfam_1(A);881
6278;thm;=(k2_xboole_0(A,A),k1_xboole_0);878
5409;thm;k6_enumset1(A,A,A,A,A,A,A,A);877
16270;prm;k3_enumset1;874
14297;prm;=-k4_tarski;871
16213;prm;v1_pre_topc(A);869
14064;prm;r1_tarski(k3_xboole_0(A,A),A);868
12349;prm;v2_tex_2-V;858
11850;prm;v1_lattice3;855
3993;thm;=-k2_relset_1;852
12453;prm;r2_hidden(k4_tarski(A,A),A);847
11918;prm;k6_relat_1;842
2618;thm;k2_xboole_0(A,k2_tarski(A,A));840
1212;thm;k2_tops_2(u1_struct_0(A),u1_struct_0(A),A);837
18873;prm;r1_tarski-k1_xboole_0;837
1609;thm;v1_lattice3;836
12390;prm;r1_partfun1-V;836
20083;prm;=(A,k8_relat_1(A,A));834
3294;thm;r2_hidden-k4_zfmisc_1;833
6586;thm;=-k7_lattices;831
18740;prm;=-k3_subset_1;825
10873;prm;k2_relset_1;823
12605;prm;l1_lattices(A);822
12560;prm;k1_relat_1-k7_relat_1;819
4853;thm;k2_xboole_0(A,k1_tarski(A));818
11678;prm;k2_wellord1(A,A);811
13507;prm;r1_tarski(A,k2_xboole_0(A,A));810
3626;thm;u1_pre_topc(A);807
1820;thm;=-k3_enumset1;806
3266;thm;r1_tarski(A,k2_xboole_0(A,A));806
11261;prm;r1_tarski(k1_xboole_0,A);805
3225;thm;r1_tsep_1(A,k2_tsep_1(A,A,A));805
20010;prm;=(k2_tarski(A,A),k1_tarski(A));803
2433;thm;r1_tarski(k1_relat_1(A),A);803
62;thm;=-k3_lattices;799
2498;thm;r1_setfam_1-k1_xboole_0;798
3138;thm;r2_orders_2-V;795
5761;thm;=(A,k3_subset_1(A,A));792
310;thm;v4_ordinal1-V;792
2149;thm;r1_partfun1-V;786
11500;prm;m1_connsp_2;784
580;thm;=(k3_xboole_0(A,A),A);784
15131;prm;=(k7_relat_1(A,A),A);779
7942;thm;=-k4_enumset1;778
32;thm;k5_setfam_1-V;776
12231;prm;k7_setfam_1-V;776
444;thm;v5_pre_topc(A,A,A);775
1895;thm;v2_tops_1;774
252;thm;v2_funct_2-V;770
11250;prm;k2_tops_1;768
5078;thm;k3_relat_1-V;765
2365;thm;m1_pre_topc-k2_tsep_1;765
2630;thm;k5_relat_1-k3_xboole_0;765
6029;thm;k3_enumset1;761
1694;thm;m1_yellow_0-V;761
13648;prm;v1_funct_1;758
2326;thm;k4_mcart_1(A,A,A,A);757
11372;prm;k1_lattices(A,A,A);757
8983;thm;=-k3_tarski;756
15319;prm;k3_relat_1-V;756
9390;thm;k3_relat_1;753
6290;thm;r1_tarski(k8_relat_1(A,A),k8_relat_1(A,A));751
439;thm;r1_tmap_1(A,A,A,A);749
855;thm;k6_relat_1-V;749
17058;prm;r1_tarski-k2_zfmisc_1;749
9132;thm;=(A,k1_funct_1(A,A));746
3520;thm;=-k2_zfmisc_1;746
1733;thm;k2_yellow_0-V;746
12566;prm;l2_lattices(A);744
12163;prm;l1_waybel_0-V;742
12480;prm;v4_orders_2(A);742
8459;thm;r1_tarski(A,k2_tops_1(A,A));740
6119;thm;r1_xboole_0(A,k3_xboole_0(A,A));738
13565;prm;v5_relat_1;732
1677;thm;k6_relat_1;727
43;thm;k8_relset_1(A,A,A,k7_relset_1(A,A,A,A));726
5964;thm;r1_tarski(A,k3_subset_1(A,A));726
11806;prm;=(A,k2_zfmisc_1(A,A));725
995;thm;r2_relset_1-k4_relset_1;725
18851;prm;r1_tarski-k3_tarski;724
11651;prm;v1_tops_1-V;723
5321;thm;r1_tarski(k2_xboole_0(A,A),A);722
8567;thm;k2_xboole_0(k2_tarski(A,A),A);722
11468;prm;=-k1_wellord2;720
2218;thm;r1_tarski-k2_relat_1;713
12459;prm;r1_tarski-k2_relat_1;710
4126;thm;r1_yellow_0;710
98;thm;k6_domain_1;709
1363;thm;v3_ordinal1-V;708
14532;prm;=(A,k2_tarski(A,A));708
11681;prm;v1_relat_1(k7_relat_1(A,A));707
12255;prm;k2_struct_0;706
18928;prm;=-k2_tarski;702
118;thm;r1_xboole_0(A,k1_relat_1(A));700
3078;thm;=(A,k7_subset_1(A,A,A));700
19691;prm;=(k2_zfmisc_1(A,A),k1_xboole_0);699
11391;prm;v2_lattice3;698
8008;thm;r1_tarski-k3_xboole_0;697
13901;prm;m1_subset_1(k2_pre_topc(A,A),k1_zfmisc_1(u1_struct_0(A)));695
12411;prm;r1_tarski(k3_subset_1(A,A),A);695
7909;thm;=-k4_lattices;691
3862;thm;k7_lattices;689
1819;thm;k1_yellow_0(A,A);689
6420;thm;r1_tarski(A,k3_relat_1(A));687
15343;prm;m1_subset_1(k1_tops_1(A,A),k1_zfmisc_1(u1_struct_0(A)));687
11923;prm;k8_tmap_1;686
3359;thm;r2_yellow_0(A,A);684
7974;thm;r1_tarski(A,k2_pre_topc(A,A));681
10951;prm;=(k3_xboole_0(A,A),k3_xboole_0(A,A));680
10281;prm;k5_mcart_1-V;680
755;thm;r1_tarski-k2_xboole_0;678
4823;thm;r1_lattices(A,A,A);675
4095;thm;u1_struct_0-V;674
10745;prm;k3_tmap_1(A,A,A,A,A);672
6415;thm;r1_tarski(A,k2_relat_1(A));671
10252;prm;r2_hidden(A,k1_relat_1(A));669
4266;thm;k2_xboole_0-k1_enumset1;669
7958;thm;=(A,k9_relat_1(A,A));669
3199;thm;v6_tops_1;665
138;thm;v3_tex_2;664
3970;thm;=-k8_relat_1;664
13518;prm;k2_funct_1-V;661
1788;thm;l1_struct_0-V;659
8499;thm;=-k3_subset_1;659
10358;prm;=(k8_relset_1(A,A,A,A),A);659
5782;thm;v2_funct_1(k1_partfun1(A,A,A,A,A,A));659
3740;thm;r1_tarski(k1_setfam_1(A),k1_setfam_1(A));657
6387;thm;u1_orders_2-V;654
8930;thm;=(k2_relset_1(A,A,A),A);651
12859;prm;k2_xboole_0(A,k2_tarski(A,A));650
141;thm;v3_tops_1;650
13828;prm;v1_relat_1-k8_relat_1;647
15462;prm;k1_wellord2-V;644
13351;prm;=(k2_xboole_0(k2_xboole_0(A,A),A),k2_xboole_0(A,k2_xboole_0(A,A)));642
11974;prm;k2_yellow_0-V;642
17917;prm;=(A,k1_relset_1(A,A,A));641
10685;prm;v5_pre_topc(A,A,A);638
1812;thm;r1_xboole_0-k3_xboole_0;638
1575;thm;=-k1_funct_1;637
1205;thm;v13_waybel_0-V;636
2170;thm;r1_tarski(k3_subset_1(A,A),A);636
12416;prm;k8_relset_1-V;635
14563;prm;k2_xboole_0-k1_tarski;633
18047;prm;r2_hidden-k1_funct_1;632
