f_number;thm_prm;feature;importance
5868;thm;v1_pre_topc-V;0.16971352903225803
18830;prm;u1_waybel_0(A,A);0.1695354474226803
8635;thm;r1_xboole_0(A,k2_xboole_0(A,A));0.1694678914816327
11375;prm;m1_pre_topc(A,A);0.1694613920945756
11908;prm;k1_lattice3;0.16943459636363642
3844;thm;k8_relat_1-k7_relat_1;0.1692935705940593
265;thm;k8_relset_1-k2_tops_2;0.169236
17633;prm;r1_tarski-V;0.16899639704561634
4653;thm;k6_relat_1-k3_relat_1;0.168897355
2093;thm;r1_tarski(k2_xboole_0(k1_zfmisc_1(k4_xboole_0(A,A)),k1_zfmisc_1(k4_xboole_0(A,A))),k1_zfmisc_1(k5_xboole_0(A,A)));0.16885194999999997
12303;prm;=(k6_mcart_1(A,A,A,A),A);0.16847901538461538
12061;prm;=-k3_enumset1;0.16839215924933554
15738;prm;k2_xboole_0(k1_tarski(A),k2_enumset1(A,A,A,A));0.16824518076923073
8128;thm;r1_tarski(k10_relat_1(A,A),k1_relat_1(A));0.16823112641509436
11830;prm;v2_struct_0-V;0.16822696585847113
11155;prm;u1_orders_2(A);0.16822240069805186
24;thm;=(k4_xboole_0(A,k1_tarski(A)),k1_xboole_0);0.1680550833333333
18486;prm;=(k2_wellord1(A,A),k3_xboole_0(A,k2_zfmisc_1(A,A)));0.167969
15094;prm;k2_xboole_0(A,k1_tarski(A));0.16756438231073467
13262;prm;v4_pre_topc-k2_pre_topc;0.16753959166666665
709;thm;r2_waybel_7(A,A,A);0.16753921693333335
183;thm;=(k7_relset_1(A,A,A,k8_relset_1(A,A,A,A)),k2_relset_1(A,A,A));0.16747497909090917
14831;prm;k5_relat_1(A,k2_funct_1(A));0.16747225714285713
10373;prm;v1_relat_1(k2_xboole_0(A,A));0.167413528
924;thm;l1_waybel_0(k3_waybel_2(A,A,A),A);0.16724399999999998
18182;prm;r1_tarski(k1_tops_1(A,A),k1_tops_1(A,A));0.16715937755102042
11614;prm;=(k2_pre_topc(A,A),A);0.16710302115345688
3480;thm;=(k8_relat_1(A,A),k3_xboole_0(A,k2_zfmisc_1(k1_relat_1(A),A)));0.16690948
10364;prm;r3_lattice3;0.16687994853658542
12307;prm;v4_lattices-V;0.16683360694300514
17746;prm;=(A,k1_tarski(A));0.1667676361285209
89;thm;r1_tarski-k9_subset_1;0.1666111341481481
10959;prm;v1_wellord1-V;0.16649333142857145
3929;thm;r1_tarski(k1_relat_1(k7_relat_1(A,A)),k1_relat_1(A));0.16648219999999997
900;thm;k1_tarski(k4_mcart_1(A,A,A,A));0.16647442857142858
907;thm;v3_orders_2-V;0.1663617506029774
11146;prm;v8_pre_topc(A);0.16629075268817203
10340;prm;=-k2_xboole_0;0.1662495607043027
6941;thm;k1_funct_1-k7_relat_1;0.16590649625000004
831;thm;k8_relat_1(k3_xboole_0(A,A),A);0.16527723148387102
7283;thm;k4_yellow_0-V;0.1650975195833334
4979;thm;=(k3_relat_1(k1_tarski(k4_tarski(A,A))),k2_tarski(A,A));0.165065141025641
1527;thm;v9_lattices-V;0.1648904139740822
12744;prm;v2_pre_topc(A);0.1647569409823271
1418;thm;r1_relat_2(k1_wellord2(A),A);0.16471244090909093
1888;thm;k2_xboole_0(k1_enumset1(A,A,A),k4_enumset1(A,A,A,A,A,A));0.1646986773134328
11128;prm;k5_lattice3(A,A);0.1646191720930232
3120;thm;k7_lattices(A,k4_filter_0(A,A,A));0.16407901478632467
11757;prm;k10_relat_1;0.16396661105919644
7392;thm;r1_tarski-V;0.16360169767804153
6854;thm;v2_tdlat_3-V;0.16326866666666665
19691;prm;=(k2_zfmisc_1(A,A),k1_xboole_0);0.1631702776394853
11983;prm;k6_relat_1(k1_relat_1(A));0.163139163
3165;thm;=-k9_subset_1;0.16288975361111113
15004;prm;=(k5_setfam_1(A,A),A);0.1627506083333333
905;thm;v8_pre_topc(A);0.16272284177215177
2324;thm;v2_compts_1(k2_struct_0(A),A);0.16268216315789474
17137;prm;=-k7_relat_1;0.16189397394482746
1685;thm;=-V;0.16185110586442197
11523;prm;v2_funct_1;0.16178883588205678
5504;thm;r2_hidden(k1_xboole_0,u1_pre_topc(A));0.1617395938356164
5943;thm;r2_funct_2-k2_tmap_1;0.16155080985915493
2431;thm;k4_subset_1(u1_struct_0(A),A,k3_subset_1(u1_struct_0(A),A));0.16152514285714287
12094;prm;m1_subset_1;0.1614918407978112
3562;thm;=(k1_funct_1(A,A),k1_funct_1(A,A));0.16137546551587284
5276;thm;r1_tarski(k1_relat_1(k7_relat_1(A,A)),A);0.16136975
15610;prm;=-k4_xboole_0;0.1611418863891447
18794;prm;m1_subset_1(k7_subset_1(A,A,A),k1_zfmisc_1(A));0.16093087333333336
734;thm;=(k7_enumset1(A,A,A,A,A,A,A,A,A),k2_xboole_0(k5_enumset1(A,A,A,A,A,A,A),k2_tarski(A,A)));0.16088091476923078
2618;thm;k2_xboole_0(A,k2_tarski(A,A));0.16062449615892851
15702;prm;m1_pre_topc(k1_tsep_1(A,A,A),A);0.16044856318681322
2175;thm;k8_relset_1-V;0.16040555834432893
10835;prm;k1_relat_1(A);0.16039383857756778
11559;prm;k7_relat_1-k6_subset_1;0.16029176144578314
13542;prm;=-k2_partfun1;0.15993238588654632
12630;prm;k6_subset_1(k1_relat_1(A),A);0.15988333
10467;prm;g1_pre_topc-V;0.15973872253521132
410;thm;=-k9_relat_1;0.1596731759977481
12638;prm;k2_wellord1(k2_wellord1(A,A),A);0.15964441923076914
17096;prm;=(k4_tarski(A,A),k4_tarski(A,A));0.15953320000000001
83;thm;k2_waybel_0-V;0.1595211510827585
2056;thm;=-k1_relat_1;0.15939847288603348
9636;thm;=(k2_tarski(A,A),k2_xboole_0(k1_tarski(A),k1_tarski(A)));0.1593503396551725
10439;prm;r1_orders_2-V;0.15927498207409474
2272;thm;=(k2_zfmisc_1(A,A),k2_zfmisc_1(A,A));0.15911311770197512
11045;prm;r1_tarski(k3_relat_1(A),A);0.15879094655172415
11152;prm;=(A,k1_yellow_0(A,A));0.1584530449166666
18573;prm;r4_relat_2-V;0.158185235
1179;thm;k3_xboole_0-k4_relat_1;0.15805573888888888
198;thm;r1_orders_2-V;0.15805057912100734
16096;prm;r2_hidden(A,k3_subset_1(A,A));0.15802375454545456
10692;prm;k3_mcart_1-V;0.15771860986653993
4890;thm;=(k7_relat_1(A,A),A);0.15766313658476924
7747;thm;k9_subset_1-u1_struct_0;0.1576264659880239
219;thm;k2_yellow_1(A);0.15754608829660996
6741;thm;k1_tarski-V;0.15749203742089754
4887;thm;u1_struct_0-g1_pre_topc;0.15747623219298237
11593;prm;k1_tarski(A);0.15743786959610326
12861;prm;v1_orders_2;0.157377756277778
15816;prm;k3_xboole_0(A,k10_relat_1(A,A));0.1572476090909091
2524;thm;=(k9_relat_1(k7_relat_1(A,A),A),k9_relat_1(A,A));0.15718224
7457;thm;=(k5_relat_1(A,A),k6_relat_1(k2_relat_1(A)));0.1571306193548387
9510;thm;k4_xboole_0-k1_tarski;0.15684428770408165
11102;prm;r1_tarski-k4_xboole_0;0.15683048593967522
5009;thm;=-k1_tarski;0.15667575144264806
2303;thm;k8_setfam_1(A,A);0.15649866876325078
5937;thm;=-k5_enumset1;0.1564818205186386
17012;prm;r1_tarski(k2_tarski(A,A),k1_tarski(A));0.15642699999999998
1812;thm;r1_xboole_0-k3_xboole_0;0.1563721557570534
4639;thm;=(k2_yellow_0(A,A),k2_yellow_0(A,A));0.1562577222857142
11090;prm;=-k1_lattices;0.15598032917993324
17668;prm;l1_orders_2-V;0.15586342172131146
4117;thm;k4_lattices-k3_lattices;0.1557931265475524
12212;prm;=(k2_subset_1(A),A);0.15577685187969917
9899;thm;=(k6_enumset1(A,A,A,A,A,A,A,A),k1_enumset1(A,A,A));0.15576630769230768
754;thm;v5_pre_topc(k2_tmap_1(A,k8_tmap_1(A,A),k9_tmap_1(A,A),A),A,k8_tmap_1(A,A));0.15550062960131572
15877;prm;m1_subset_1-k2_yellow_0;0.15534387272727274
3026;thm;r1_tarski(A,k7_relat_1(A,k1_relat_1(A)));0.15533755714285719
15649;prm;=-u1_pre_topc;0.15521083437500002
16982;prm;k1_tarski-V;0.15509265027032945
12431;prm;=(A,k11_lattice3(A,A,A));0.1550157853548388
16220;prm;k5_relat_1-k6_relat_1;0.15500698489752648
1238;thm;k3_orders_2(A,k1_struct_0(A),A);0.15498610879581137
3173;thm;k6_subset_1(k1_relat_1(A),k1_relat_1(A));0.15495591229508204
7974;thm;r1_tarski(A,k2_pre_topc(A,A));0.15495498016152726
12459;prm;r1_tarski-k2_relat_1;0.15484266065915495
14791;prm;=(k1_relat_1(A),k3_xboole_0(k1_relat_1(A),A));0.15482731657657658
5818;thm;r1_tarski-k1_relat_1;0.1547809699016393
14064;prm;r1_tarski(k3_xboole_0(A,A),A);0.15474830320852542
5033;thm;r2_hidden(A,k2_zfmisc_1(k2_tarski(A,A),k1_tarski(A)));0.15471853571428573
8697;thm;=(A,k2_xboole_0(A,A));0.15424848061610816
4973;thm;=(A,k6_relat_1(k1_relat_1(A)));0.15405873741666679
524;thm;k1_zfmisc_1-u1_struct_0;0.15395100529051123
863;thm;k2_xboole_0(k5_enumset1(A,A,A,A,A,A,A),k1_tarski(A));0.15376326027027026
16227;prm;=(g1_orders_2(A,A),g1_orders_2(A,A));0.15375675072835432
15306;prm;r1_tarski(k3_tarski(A),k3_tarski(A));0.15369667499999995
4967;thm;r1_tarski(u1_struct_0(A),u1_struct_0(A));0.15365179536448603
14989;prm;k3_xboole_0-k2_relat_1;0.15359882045081974
10840;prm;k7_enumset1(A,A,A,A,A,A,A,A,A);0.15359422335438616
4731;thm;k2_xboole_0(k1_tarski(A),k1_enumset1(A,A,A));0.15359309655172412
16213;prm;v1_pre_topc(A);0.15347580381472958
8661;thm;=-k1_zfmisc_1;0.15326681016631993
11179;prm;u1_struct_0(k2_yellow_1(A));0.15310433076923077
5004;thm;r1_xboole_0-V;0.15308874306566592
17242;prm;=(k2_xboole_0(A,A),k2_xboole_0(A,A));0.15307562144477604
2045;thm;r1_tarski-k9_relat_1;0.1529009328619959
15641;prm;v1_relat_1(A);0.15250592741652255
10169;thm;=(k2_relat_1(A),k1_relat_1(A));0.15249676883720925
10381;prm;r2_hidden(A,k1_funct_2(A,A));0.15243672413793102
14497;prm;r2_hidden(A,k1_relat_1(k5_relat_1(A,A)));0.15243143548387103
3302;thm;k2_tops_1(A,k2_pre_topc(A,A));0.15223377364779866
6185;thm;k3_xboole_0(A,k2_xboole_0(A,A));0.15222410921875001
576;thm;r1_tarski-k4_waybel_0;0.15219206111111108
12297;prm;=-k1_relat_1;0.1521698124307036
